,AcX,AcY,AcZ,GyX,GyY,GyZ,Oc2,OcV,Occ,OcV2,time,id,Magnitude,Timestamp,Movement
1,-173,-345,-2582,-677,-82,-129,1,0,1,0,2023-05-05 06:00:00,S237,1.274748706,2023-05-05 06:00:00,1
4,-355,476,-3010,-513,3342,448,1,0,1,6,2023-05-05 05:54:59,S234,1.498053002,2023-05-05 05:54:59,1
3,-392,-312,-2325,-82,1609,-226,1,0,1,0,2023-05-05 05:54:59,S235,1.161312362,2023-05-05 05:54:59,1
4,-355,476,-3010,-513,3342,448,1,0,1,6,2023-05-05 05:54:59,S234,1.498053002,2023-05-05 05:54:59,1
3,-392,-312,-2325,-82,1609,-226,1,0,1,0,2023-05-05 05:54:59,S235,1.161312362,2023-05-05 05:54:59,1
4,-355,476,-3010,-513,3342,448,1,0,1,6,2023-05-05 05:54:59,S234,1.498053002,2023-05-05 05:54:59,1
3,-392,-312,-2325,-82,1609,-226,1,0,1,0,2023-05-05 05:54:59,S235,1.161312362,2023-05-05 05:54:59,1
4,-355,476,-3010,-513,3342,448,1,0,1,6,2023-05-05 05:54:59,S234,1.498053002,2023-05-05 05:54:59,1
3,-392,-312,-2325,-82,1609,-226,1,0,1,0,2023-05-05 05:54:59,S235,1.161312362,2023-05-05 05:54:59,1
4,-355,476,-3010,-513,3342,448,1,0,1,6,2023-05-05 05:54:59,S234,1.498053002,2023-05-05 05:54:59,1
3,-392,-312,-2325,-82,1609,-226,1,0,1,0,2023-05-05 05:54:59,S235,1.161312362,2023-05-05 05:54:59,1
4,-355,476,-3010,-513,3342,448,1,0,1,6,2023-05-05 05:54:59,S234,1.498053002,2023-05-05 05:54:59,1
3,-392,-312,-2325,-82,1609,-226,1,0,1,0,2023-05-05 05:54:59,S235,1.161312362,2023-05-05 05:54:59,1
162,-423,-254,-2370,-328,-1569,-156,1,0,1,26,2023-05-05 05:21:19,S76,1.182038548,2023-05-05 05:21:19,1
161,-330,-245,-2390,-297,58,-167,1,0,1,29,2023-05-05 05:21:19,S77,1.184122301,2023-05-05 05:21:19,1
4,-602,-278,-2219,-729,-536,-103,1,0,1,16,2023-05-05 05:19:59,S234,1.130837554,2023-05-05 05:19:59,1
205,-298,-241,-2426,-330,-232,-168,1,0,1,94,2023-05-05 05:09:08,S33,1.199260997,2023-05-05 05:09:08,1
1,-408,-264,-2417,-201,-616,103,1,0,1,94,2023-05-05 05:09:00,S237,1.203793922,2023-05-05 05:09:00,1
216,-86,-186,-2737,-898,1168,-1338,1,0,1,14,2023-05-05 05:04:06,S22,1.340166237,2023-05-05 05:04:06,1
90,-482,-318,-2358,-293,-802,-150,1,0,1,0,2023-05-05 05:03:37,S148,1.185388796,2023-05-05 05:03:37,1
89,-240,-319,-2600,-110,-518,-114,1,0,1,0,2023-05-05 05:03:37,S149,1.28440812,2023-05-05 05:03:37,1
85,-183,-290,-2610,-437,-686,-174,1,0,1,75,2023-05-05 05:03:38,S153,1.285366331,2023-05-05 05:03:38,1
82,-765,-224,-2132,-1083,-4427,-69,1,0,1,14,2023-05-05 05:03:39,S156,1.111397739,2023-05-05 05:03:39,1
81,-444,-113,-2161,-1151,-1141,585,1,0,1,0,2023-05-05 05:03:40,S157,1.078629307,2023-05-05 05:03:40,1
79,-438,-168,-2322,-1429,-569,98,1,0,1,24,2023-05-05 05:03:40,S159,1.15669613,2023-05-05 05:03:40,1
75,-416,-432,-2391,746,-582,-148,1,0,1,72,2023-05-05 05:03:41,S163,1.203646559,2023-05-05 05:03:41,1
8,-400,-317,-2410,-284,-615,-128,1,0,1,60,2023-05-05 04:48:58,S230,1.202856752,2023-05-05 04:48:58,1
177,-82,-4194,-1507,-948,-3349,33,1,0,1,86,2023-05-05 04:35:15,S61,2.176409756,2023-05-05 04:35:15,1
176,-38,-299,-2446,-874,-1296,-2496,1,0,1,60,2023-05-05 04:35:16,S62,1.203369215,2023-05-05 04:35:16,1
175,78,-29,-2661,-46,2161,160,1,0,1,34,2023-05-05 04:35:16,S63,1.299951604,2023-05-05 04:35:16,1
174,-407,10,-2242,-404,-1194,724,1,0,1,0,2023-05-05 04:35:16,S64,1.112629268,2023-05-05 04:35:16,1
